provincia,localidad,cantidad_de_ambiente,precio_medio,precio_m2_cubierto_medio_localidad,precio_m2_cubierto_medio_prov
Zona Norte (GBA),"Puertos, El Cazador",5,2073.076923076923,9.231714308745417,12.133321183116772
Zona Norte (GBA),"Puertos, El Cazador",3,1366.6666666666667,16.355866355866358,12.133321183116772
Zona Norte (GBA),"Puertos, El Cazador",4,1000.0,5.586121174405783,12.133321183116772
Zona Norte (GBA),"Punta Chica, San Fernando",10,4800.0,12.0,12.133321183116772
Zona Norte (GBA),"Punta Chica, San Fernando",6,2150.0,7.883726306056403,12.133321183116772
Zona Norte (GBA),"Punta Chica, San Fernando",5,4066.6666666666665,9.171828171828173,12.133321183116772
Zona Norte (GBA),"Punta Chica, San Fernando",4,1900.0,10.925925925925926,12.133321183116772
Zona Norte (GBA),"Punta Chica, San Fernando",3,1500.0,16.853932584269664,12.133321183116772
Zona Norte (GBA),"Quartier Nordelta, Nordelta",5,1200.0,12.76595744680851,12.133321183116772
Zona Norte (GBA),"Quartier Nordelta, Nordelta",3,1006.25,12.337611184638039,12.133321183116772
Cordoba,"Quebrada de las Rosas, Córdoba",3,327.5,4.940789473684211,16.418871854486028
Cordoba,"Quebrada de las Rosas, Córdoba",2,283.3333333333333,7.083333333333333,16.418871854486028
Cordoba,"Quebrada de las Rosas, Córdoba",4,505.0,5.143353174603175,16.418871854486028
Cordoba,"Quebrada de las Rosas, Córdoba",6,750.0,7.894736842105263,16.418871854486028
Cordoba,"Quebrada de las Rosas, Córdoba",5,875.0,8.293463730387673,16.418871854486028
Zona Sur (GBA),"Quilmes Oeste, Quilmes",3,433.3333333333333,5.648148148148148,18.825498964718964
Zona Sur (GBA),"Quilmes Oeste, Quilmes",4,650.0,5.565149136577708,18.825498964718964
Zona Sur (GBA),"Quilmes Oeste, Quilmes",1,333.75,8.274269959614788,18.825498964718964
Zona Sur (GBA),"Quilmes Oeste, Quilmes",2,313.3333333333333,74.02513227513228,18.825498964718964
Zona Sur (GBA),"Quilmes, GBA Sur",3,552.5,7.603840106434446,18.825498964718964
