precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado,acceso_movilidad_reducida,provincia
$ 65.000, $ 25.000,Independencia al 300,"Nueva Córdoba, Córdoba",16,16,1,,,35 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Cordoba
$ 65.000, $ 66.000,9 de Julio 138,"Centro, Córdoba",46,46,3,,,30 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 65.000,,9 de Julio 770,"Centro, Córdoba",14,14,,,,40 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 66.000,,Valle Hermoso Córdoba,"Centro, Valle Hermoso",,120,6,1,3,30 años,,,Muy luminoso,1,,,True,True,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,True,,True,,,,,,Cordoba
$ 69.000, $ 230.000,Chacabuco 847,"Nueva Córdoba, Córdoba",70,70,4,3,7,14 años,,,Muy luminoso,,,,True,,True,,,,,,,,,True,,,,,,True,,True,,,True,,True,,,,True,,True,,True,,True,,,,True,,Cordoba
$ 70.000,,balcon de paravachasca,"Anisacate, Córdoba",500,500,,,,1 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 70.000,,HEROES DE VILCAPUGIO 3546,"Villa Belgrano, Córdoba",300,40,1,1,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 70.000, $ 50.000,Av. Emilio Olmos 130,"Centro, Córdoba",30,30,2,,,30 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
USD 100.000,,27 DE ABRIL ,"Centro, Córdoba",100,100,,1,,40 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,Cordoba
$ 70.000, $ 20.000,9 de julio,"Centro, Córdoba",1,1,2,1,,1 años,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,Cordoba
$ 70.000, $ 13.376,Soldado Ruiz  1900,"San Martín, Córdoba",23,23,,1,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Cordoba
$ 70.000,,Juan A. Sarachaga  100,"Alta Córdoba, Córdoba",17,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Cordoba
$ 70.000, $ 20.000,Av. Gral. Paz 120,"Centro, Córdoba",20,20,2,,,30 años,,,Muy luminoso,,,,True,,,,,,,,,,,,,,,,True,True,,True,,True,,,,,,,,True,,,,,,,,True,,True,Cordoba
$ 72.000,,Guzmán,"Córdoba, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 72.000,,Guzmán,"Córdoba, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 72.000,,Guzmán,"Córdoba, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 72.000,,Guzmán,"Córdoba, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 72.000,,Guzmán,"Córdoba, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 72.000,,Guzmán,"Córdoba, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 72.000,,Guzmán,"Córdoba, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 72.000,,Guzmán,"Córdoba, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 72.000,,Guzmán,"Córdoba, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 72.000,,Guzmán,"Córdoba, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 72.000,,Guzmán,"Córdoba, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 72.000,,Guzmán,"Córdoba, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 75.000, $ 28.000,Rivadavia 140,"Centro, Córdoba",20,20,2,,,35 años,,,,,,,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,True,,,,,,,,True,,,Cordoba
